id	cpu	memory	io	arTime	cpu	memory	io	cpu	memory	io	cpu	memory	io	
84	96	12	38	20	80	14	58	83	-19	52	47	8	35	
85	99	16	59	10	67	5	24	49	-7	59	93	10	55	
86	55	11	54	75	41	15	38	80	-19	38	75	6	44	
87	18	11	52	26	15	19	39	14	-6	42	77	13	30	
88	72	6	42	18	45	7	56	32	-9	38	53	9	49	
89	86	11	38	12	30	13	32	39	-8	50	92	10	30	
90	32	11	45	52	60	17	36	67	-17	47	25	9	40	
91	62	17	31	25	47	10	40	38	-6	22	80	11	42	
92	12	8	38	19	82	14	54	58	-6	54	34	9	43	
93	11	11	35	28	30	16	25	62	-19	41	81	5	22	
94	21	17	28	41	62	7	26	11	-6	60	20	16	36	
95	62	8	50	80	52	9	29	30	-20	36	52	5	41	
96	32	12	43	22	22	8	51	88	-16	58	28	19	37	
97	51	8	29	67	95	15	30	80	-18	36	91	12	55	
98	82	14	39	37	62	6	39	26	-17	56	55	13	27	
99	95	11	33	22	80	15	45	20	-15	35	13	6	32	
100	84	9	36	39	12	16	53	16	-14	27	95	10	21	
